lang,algo,family,instance,n,m,opt,k,time_ms,nodes,timed_out,replica
java,smart,structured,structured_n60_m180_s1,60,180,60,60,4.613,121,0,2
python,smart,structured,structured_n60_m180_s1,60,180,60,60,5.959,121,0,3
cpp,smart,structured,structured_n60_m180_s1,60,180,60,60,0.094,121,0,3
java,smart,structured,structured_n60_m180_s1,60,180,60,60,4.662,121,0,3
python,smart,structured,structured_n60_m180_s2,60,180,60,60,6.072,121,0,1
cpp,smart,structured,structured_n60_m180_s2,60,180,60,60,0.099,121,0,1
java,smart,structured,structured_n60_m180_s2,60,180,60,60,4.635,121,0,1
python,smart,structured,structured_n60_m180_s2,60,180,60,60,6.052,121,0,2
cpp,smart,structured,structured_n60_m180_s2,60,180,60,60,0.091,121,0,2
java,smart,structured,structured_n60_m180_s2,60,180,60,60,4.563,121,0,2
python,smart,structured,structured_n60_m180_s2,60,180,60,60,6.010,121,0,3
cpp,smart,structured,structured_n60_m180_s2,60,180,60,60,0.092,121,0,3
java,smart,structured,structured_n60_m180_s2,60,180,60,60,4.586,121,0,3
python,smart,structured,structured_n60_m180_s3,60,180,60,60,6.064,121,0,1
cpp,smart,structured,structured_n60_m180_s3,60,180,60,60,0.093,121,0,1
java,smart,structured,structured_n60_m180_s3,60,180,60,60,4.628,121,0,1
python,smart,structured,structured_n60_m180_s3,60,180,60,60,6.105,121,0,2
cpp,smart,structured,structured_n60_m180_s3,60,180,60,60,0.091,121,0,2
java,smart,structured,structured_n60_m180_s3,60,180,60,60,4.529,121,0,2
python,smart,structured,structured_n60_m180_s3,60,180,60,60,6.074,121,0,3
cpp,smart,structured,structured_n60_m180_s3,60,180,60,60,0.094,121,0,3
java,smart,structured,structured_n60_m180_s3,60,180,60,60,4.639,121,0,3
python,smart,structured,structured_n60_m180_s4,60,180,60,60,5.958,121,0,1
cpp,smart,structured,structured_n60_m180_s4,60,180,60,60,0.091,121,0,1
java,smart,structured,structured_n60_m180_s4,60,180,60,60,4.617,121,0,1
python,smart,structured,structured_n60_m180_s4,60,180,60,60,5.813,121,0,2
cpp,smart,structured,structured_n60_m180_s4,60,180,60,60,0.097,121,0,2
java,smart,structured,structured_n60_m180_s4,60,180,60,60,4.561,121,0,2
python,smart,structured,structured_n60_m180_s4,60,180,60,60,5.901,121,0,3
cpp,smart,structured,structured_n60_m180_s4,60,180,60,60,0.091,121,0,3
java,smart,structured,structured_n60_m180_s4,60,180,60,60,4.578,121,0,3
python,smart,random,random_n50_m200_s2,50,200,NA,NA,60000,NA,1,1
cpp,smart,random,random_n50_m200_s2,50,200,NA,44,52069.283,85523568,0,1
java,smart,random,random_n50_m200_s2,50,200,NA,44,40306.008,85523568,0,1
python,smart,random,random_n50_m200_s2,50,200,NA,NA,60000,NA,1,2
cpp,smart,random,random_n50_m200_s2,50,200,NA,44,52175.461,85523568,0,2
java,smart,random,random_n50_m200_s2,50,200,NA,44,40583.602,85523568,0,2
python,smart,random,random_n50_m200_s2,50,200,NA,NA,60000,NA,1,3
cpp,smart,random,random_n50_m200_s2,50,200,NA,44,51976.286,85523568,0,3
java,smart,random,random_n50_m200_s2,50,200,NA,44,40604.619,85523568,0,3
python,smart,random,random_n50_m200_s3,50,200,NA,NA,60000,NA,1,1
cpp,smart,random,random_n50_m200_s3,50,200,NA,NA,60000,NA,1,1
java,smart,random,random_n50_m200_s3,50,200,NA,44,60003.303,134154714,1,1
python,smart,random,random_n50_m200_s3,50,200,NA,NA,60000,NA,1,2
cpp,smart,random,random_n50_m200_s3,50,200,NA,NA,60000,NA,1,2
java,smart,random,random_n50_m200_s3,50,200,NA,NA,60000,NA,1,2
python,smart,random,random_n50_m200_s3,50,200,NA,NA,60000,NA,1,3
cpp,smart,random,random_n50_m200_s3,50,200,NA,NA,60000,NA,1,3
java,smart,random,random_n50_m200_s3,50,200,NA,NA,60000,NA,1,3
